iter	Logloss
0	0.6433676727
1	0.610827798
2	0.574146197
3	0.5415149025
4	0.5149002275
5	0.4917553522
6	0.4715138532
7	0.4508776567
8	0.4302201308
9	0.4152186844
10	0.4011584164
11	0.3818436964
12	0.3673544865
13	0.3579474013
14	0.3500554506
15	0.3363681054
16	0.3255920014
17	0.3182664208
18	0.3126130609
19	0.3049966001
20	0.3020950612
21	0.2947778811
22	0.2864025651
23	0.2819949598
24	0.2785943509
25	0.2738993597
26	0.2685716271
27	0.2650029216
28	0.2622490864
29	0.2595956497
30	0.2571509988
31	0.2529972382
32	0.2490498751
33	0.244662674
34	0.2399510978
35	0.2379697223
36	0.2350894345
37	0.2329049188
38	0.2279533671
39	0.2236741249
40	0.2230525141
41	0.2208538158
42	0.2198847203
43	0.2188447773
44	0.217656178
45	0.213904354
46	0.2127919741
47	0.2118518132
48	0.2101421086
49	0.2085770375
50	0.2071182044
51	0.2059357178
52	0.2051504847
53	0.2041358242
54	0.2029408433
55	0.2015601746
56	0.2001812963
57	0.1994635529
58	0.1984703993
59	0.1974206505
60	0.1965260055
61	0.1958799385
62	0.1942166345
63	0.1933747465
64	0.1916831622
65	0.1889392734
66	0.188046688
67	0.1870473937
68	0.1864845683
69	0.1858458257
70	0.1837480916
71	0.1829758526
72	0.1800499818
73	0.1798695817
74	0.1796834555
75	0.1789445482
76	0.1786566147
77	0.1782767428
78	0.1773333418
79	0.1760578634
80	0.1749706493
81	0.1739470602
82	0.1735374921
83	0.1732759666
84	0.1703793774
85	0.170073658
86	0.1698695056
87	0.1689810086
88	0.1683537718
89	0.1675243226
90	0.1649222293
91	0.16434318
92	0.1641783647
93	0.1633981629
94	0.1632147654
95	0.1629514024
96	0.1622524834
97	0.1616948798
98	0.1615820043
99	0.1613921248
