iter	Passed	Remaining
0	168	16634
1	171	8401
2	174	5630
3	176	4242
4	179	3406
5	182	2864
6	185	2467
7	188	2166
8	190	1929
9	193	1739
10	195	1583
11	197	1449
12	199	1336
13	201	1238
14	203	1154
15	205	1079
16	207	1014
17	209	955
18	211	903
19	213	855
20	215	810
21	217	771
22	220	738
23	223	706
24	226	679
25	229	652
26	232	628
27	235	604
28	238	582
29	241	562
30	244	543
31	247	525
32	249	506
33	252	489
34	254	472
35	257	457
36	260	442
37	262	428
38	264	414
39	267	401
40	270	389
41	273	377
42	275	365
43	277	353
44	279	341
45	281	330
46	283	319
47	286	310
48	289	301
49	291	291
50	293	281
51	295	272
52	297	263
53	300	255
54	302	247
55	304	239
56	306	231
57	308	223
58	310	215
59	312	208
60	314	201
61	316	194
62	318	187
63	320	180
64	322	173
65	324	167
66	326	160
67	329	155
68	331	148
69	333	142
70	335	137
71	337	131
72	339	125
73	341	119
74	343	114
75	345	109
76	347	103
77	349	98
78	352	93
79	354	88
80	356	83
81	358	78
82	360	73
83	362	69
84	364	64
85	366	59
86	368	55
87	370	50
88	372	46
89	374	41
90	376	37
91	378	32
92	380	28
93	382	24
94	384	20
95	386	16
96	389	12
97	391	7
98	393	3
99	395	0
